file	packed_size	unpacked_size	blocks	packed_sha256	unpacked_sha256	block_unpacked_sizes
SPIT/M0C.PAC	6815	15360	2	36fc19390f5bb6fbcf9acca5fba0b6af759a262a08262d52727c1062486f4dc9	cfa3cb22bfb4be004a7bfebd19a3701a300b0d1681b32f20df5f7c0e711fcf6d	7680,7680
SPIT/M0D.PAC	8515	15360	3	5ace133965047e83f0281dbf74bf04c57ff76195858b2d273169e671e058c421	f790a3bd11dbb8294e1341d1efd8e72af16ab4d2c44990f18523fbf68bd4d8cb	3840,5760,5760
SPIT/M0E.PAC	8969	15360	3	240839a07bb626cdeb51166b3c39c4ef1d5479242a45d44a41868f09a69075e4	599ae966119ff696b7ce7c6830fcd1336f001c75bcf0ec7fc24b406a120b625b	3840,5760,5760
SPIT/M0F.PAC	8935	15360	4	78ed0a68ccd0245b0595c11cf05b2230e77ca82bb9cf281afe1c12eefb73bc98	8e5ca7e7bcd03eaca7634f8bca456b258ff78f95dd80765e2b8a5c6c8b372912	3840,2880,4320,4320
SPIT/M10.PAC	6846	15360	2	d2495ae20e7dacf516c79d473ab3c2690b7c0a3e025d05dce614f3ea5983748a	cd72a87feb165816aca62517a0a8a99128550175ade8b01840920adc0cbcf11c	7680,7680
SPIT/M11.PAC	7919	15360	4	b39fe8204750500fc42c205c6f8b7e5e456e59af71230832b262b25920f44a12	d724d103d5ce1b78b7f913b327a162b307c1d75237f283b41ef1de31ad403b77	3840,2880,4320,4320
SPIT/M12.PAC	8512	15360	3	c5cebc4ee47abc90f63e8aba1363a25fd88031fdc0b5608b418eec0316c94a8b	06cde035de269b0696422b8e6581322ef1651866758566df45bdf96bf3ff0840	3840,5760,5760
SPIT/M13.PAC	8744	15360	3	8321b19454c41df9dc88f74f6089295cb1ff1ae055f4ea1426b655b4defe3ca7	25af76f17c2be54fdef519595e27d6d3939268a1724fbddab84309ebe759f05a	3840,5760,5760
SPIT/M14.PAC	7590	15360	2	bfbe7c377ff7b006e2f9350d1a3383c8a8c64f4dab030194b2df4086dc8b23a1	206448b18515a94b4b69850014884799798a52de692a8dd67de440f6b9469df9	7680,7680
SPIT/M15.PAC	7698	15360	1	246411ea01ac8d2013babc53d9e87c929645a3a8a56bcb96d8284798d7b4fdab	0f69eeaf80195a7b167e64e78fe41718d57bf6a7d05281ad9039c84d5a625394	15360
SPIT/M16.PAC	8037	15360	3	346ded7e9f05a79c7f60d11d6f45d4838241860ef7b6bdad66968bfb9a717e01	fe693c4315f1074f06dc3431040031c47d80ec97aa10bdbbed431af911c5be62	3840,5760,5760
SPIT/M17.PAC	9555	15360	5	bab44665a7f6a19b50e962779dda1fafff77337695cb6d766d0bd33f1f03080a	4c48bfa054a667b3c3fed8d01f241efc1ad12192f237b426bbd803caf6ee784a	1920,1680,2940,4410,4410
SPIT/M18.PAC	9325	15360	5	6ca321cca01858f8a20be2e9f95f1a2f35730ec853ca0f91fd0a16aff6ed9639	3eaaa78b0fed76ddb549f00b75c38e3f205b7da2a27cd584cd33b041c003f553	3840,2880,4320,2160,2160
SPIT/M19.PAC	10131	15360	5	c891ee2ceca6e104e86546ffb4f458b3b637bdb92b9de8928fe673801af23ea9	c311a550cf7e49828ec77230365083b157d0727f949ae24975905ffd4692bb57	3840,1440,5040,2520,2520
SPIT/M1A.PAC	8647	15360	3	f547897622fa70d21eb7bac1dbed3528dd5ebaa30cd8b7a0ab85bfdf23a0a7a6	bed01a8abd6cc90f40a7e8237dd25c857b019d269eed407ebc021564b50f0d5d	7680,3840,3840
SPIT/M1B.PAC	8441	15360	4	66f1f8547119c63629b7448111ef614bb7e8611bc880590cf6f25bc2b22854b7	3df2650f771e9e27a43e7ceba2bb30146402cd5e5f455c0aa8d306bac5db4a51	3840,2880,4320,4320
SPIT/M1C.PAC	8113	15360	4	892c36233be657aa325c637ac5b6a3a098007bc36021e8cdd2651d4fad997d62	9f14faa7f103e0c842ad082f54e0e335d390374b5f580c71960a5f48edf6cf3e	3840,2880,4320,4320
SPIT/M1D.PAC	9842	15360	4	9fcc80ac4781bdc0b3997340e2c04cef70796419d6f4bae8b00dc18ce3d6ddc1	5f95abf85cbf0dd119f4527a74d0183c91cd53516469f476622b7ee305f1cf53	3840,2880,4320,4320
SPIT/M1E.PAC	8431	15360	3	740edda527978f7d4aa85cdbb8fc264200baba6b36c690051b89bb1f1325280a	845a0abebe3425067c6afe7c07b49be81950a95379315c299590a4a71f1c08eb	7680,3840,3840
SPIT/M1F.PAC	8470	15360	3	83325c6d46d129defba8a938fbc1dcb70e6306ca915246ce9589750307ed16c7	7a2c8a49620e437f59fca043b1769e7c0153ae93eddfa7cad23c361335bbc937	3840,5760,5760
SPIT/M20.PAC	7935	15360	3	63da5dd27b3d56e156ffb083fe31f0e55502e572142d102a54edf1577d030803	e9d9fdc855c38425aa95044dab897a5228087e075b87102e46fe0ee6010da392	7680,3840,3840
SPIT/M21.PAC	8648	15360	2	1e1bcb275f84232f8183ac455a1dc03d9f46f3202d8460dfc0d328f6797d6b7b	3730d44cb97e47b6a1edf6d8e0935607854e0814ad28713428fb394ba336b1c0	7680,7680
SPIT/M80.PAC	731	1024	1	898ba8f7b35095f27e5b44ee4a4c327d80e1ed7b3940b13b9644cd1eb546bf57	17ba185f480305d8bc0ede0ae4cdadbb24d5826b4eda6c4880b9619a8cde906d	1024
SPIT/M81.PAC	870	1024	1	e32f4306da8f458145a2656fa19066619d3b5e495a5fba61a987bd628f3a7ee4	99fd9e1b3b622a4e4c0c40ac87cb17891cf5c007802fcceffd84afb0591b5f19	1024
SPIT/M82.PAC	687	1024	1	803d1b4381d4135bfc922884ede13593da0d0f773b6c23ed84b07e3fde6fa1e3	301cf330dac2a1734cfa95d60dc56e1f669509f7eaa57a4196ca96599076f2af	1024
SPIT/M83.PAC	291	1024	1	7bffa6db61d8fe7b8e7f5747b7b6f75910220102cb4de4438b3c8f86ec565061	d73db31dd802d4e7d23b11989b605e2634bcd0ab266eba0f83deada9512d7456	1024
SPIT/M84.PAC	210	1024	1	be91beb61e7020e38c7a6fcfe5e2fd3bce35a64b4aa58b32e594d4b070272e15	39d1c8a3066aef728b8a9f5c0739a5418937e1216bd81e3d9b9446a8d7696da0	1024
SPIT/M85.PAC	229	1024	1	dee47badd30c25a27a7c2528625a88886933a990e65ac3e7c10380e39903bffa	331bf85d3ef04205d9370ab4d942c3f454c9d136cfb8b793c5da7062ce95176a	1024
SPIT/M86.PAC	382	1024	1	7776e26cc6df12157691b45b93806547c18ac8f0a5cb43714203ad6ca42d92bc	79cfb1a1b22c19d5fe29b35dbde76355cfd6989ae2110c8dc42fed483cc36f55	1024
SPIT/M87.PAC	630	1024	1	1d694bbb44c3d86cb9834b94fec670e2907b2a85a206a5ea0c464bc24fb4d97a	f3c7e49aba6ff866fb10086ae7bcf0c7550d6801c518686cf969de306e1e9de5	1024
