file	block_index	offset_hex	continuation	rule_count	payload_size	unpacked_size	unpacked_sha256
PACS/TILESX.PAC	2	0x12AF	1	23	3087	4032	5661c7ebe6a7c6dec00bd2727c0a28d65a629d83f5e7b5f460e93742b4a4ad00
PACS/TILESX.PAC	3	0x1F07	1	87	1564	2016	8030163eb07ed4c9eec1ce2868f132c2c80691a3ca391252553cd652c34e6e42
PACS/TILESX.PAC	4	0x262C	1	21	926	1008	4f3187c86ebc65938613481bb218bae8e247fc5225b1c209d8ff3139fe6dea56
PACS/TILESX.PAC	5	0x2A0D	0	21	926	1008	13567b58ab3ce9fd5f04c19c38f3ca5bd0ae7e06db34a510b1e77e8a9e7d98d2
PACS/UINV.PAC	0	0x0	0	35	1599	2816	fbba4069aa3c6c3b55c1e64feb713a466a19c23db21341b288a2e37501bd9c8c
PACS/WORLD.PAC	0	0x0	1	6	1335	1376	3a6c41bcad3109ae0a9d57988d1d065e50a11c08acf98f4de6449a26924467eb
PACS/WORLD.PAC	1	0x54D	1	175	365	1290	1f0f095f68a7563295a937ed5fa081a37ffd3547521e3a16d096d9bb9fbbc827
PACS/WORLD.PAC	2	0x8CB	1	109	696	1209	8a48cb9a8282c6363f05fae9fd9a4600adebb57ed5c01563e575637f2c622d0c
PACS/WORLD.PAC	3	0xCCE	1	52	726	1134	92f8d9b8e0c227ef25bc429dc56a3912ecf0f11a4b9d38474a1bc5bc3c68c4cc
PACS/WORLD.PAC	4	0x1044	1	16	995	1063	e6325220ee3764188b77d6b1b9725062726304897f43eb26b687eab51379499a
PACS/WORLD.PAC	5	0x145B	1	73	1648	1993	7a47100f9fe81c7b4504e158e1d951d584ada5683b018aae518551892df4b010
PACS/WORLD.PAC	6	0x1BAA	1	109	1200	1744	47f573c7e2b706610308a6b356ae13eddf1b023363955d10b08388e9879448e4
PACS/WORLD.PAC	7	0x21A5	1	54	1258	1526	a7f093432b2eacb2972c4484a93f47560196072ec2ac02af2a9b826037c39881
PACS/WORLD.PAC	8	0x2735	1	8	1299	1335	302a469ca0e654002b630a4db634c59972ca3ed5166d4db78349b50d809d738f
PACS/WORLD.PAC	9	0x2C64	1	4	1151	1168	68b51a22669d34d4d84d12f6c7e58a4e010291ddd8e12170e74169836e01f4d2
PACS/WORLD.PAC	10	0x30F3	1	3	2033	2045	9df18cd56929bc75a874a837138dcbd154d6245e258ea2483826e489ab687b96
PACS/WORLD.PAC	11	0x38F1	1	5	1510	1534	cbf1e5342a967305803d2cb3bb67a83061b0e1a94fc4522dcf2aef36d3b8be93
PACS/WORLD.PAC	12	0x3EEA	1	7	1117	1150	0f43ec2b843acfac88ff203306b2288a6e887d997556d23dfaa6dada24b25272
PACS/WORLD.PAC	13	0x4360	1	9	1683	1726	ae35c3f1eb51582cccf519392f6a0ffaf0118fca465160bb0bd5fcebcd459bfc
PACS/WORLD.PAC	14	0x4A12	1	5	839	863	69f60d0bd4a6b1fc36fb71f874556a3a26fc982f91c0b2f9b161c014f2b88bac
PACS/WORLD.PAC	15	0x4D6C	0	10	821	863	954f58aa67f6a4962650aa8f9de2e2cd08500d3eb951090516229819c9979f8a
PACS/spelbits.pac	0	0x0	1	23	1932	2303	105c521a9fc1a2ef089a5211cb86b3ce9b98c308825823b59f4efa286b4929dd
PACS/spelbits.pac	1	0x7D5	1	8	952	1079	55421e367603c65858d41ae08b5246ba4aa5ea13dea11211cb1bf6e4b3b6018d
PACS/spelbits.pac	2	0xBA9	1	27	1395	2092	2b481dafb46ab1f7558488182923ca3744332b64fa4016e68f7c2118dc16f852
PACS/spelbits.pac	3	0x1171	1	31	2715	3923	9c6220c5c0f80e8b39d580bc6dfc0933b4c17fbff89189f9520be0dafe18c334
PACS/spelbits.pac	4	0x1C6D	1	41	2018	3433	89a24877caefb1620b3985d9f3b1d8b38db2656a86e909a44d5552a8f7f4cbef
PACS/spelbits.pac	5	0x24CE	1	34	3971	6007	3e379ca70a88a34f695027ce70a407c3e50256ff5afa7c95c92ce64a33e34848
PACS/spelbits.pac	6	0x34BB	1	54	2743	4506	d750abd584fc1c72736160fd01f348e6197cd18014b430049ae239de3fff39ee
PACS/spelbits.pac	7	0x4018	1	20	1592	1689	1ed05059e35de26b250d3fadd60d2de3e7341b8dede9f8cd9b5aee42639b57df
PACS/spelbits.pac	8	0x4690	1	49	2676	2957	14c38a9f7fbe357e909fd5259829eb09f28da6c1d22e4b21cf14181341183031
PACS/spelbits.pac	9	0x519B	1	1	1105	1109	11da890adaa99d0de8964ab71f88bc51a484615b6a1a6ad02b821dccfd9637b4
PACS/spelbits.pac	10	0x55F3	1	1	967	970	462d84d9ad1fca96ddbcb40aef8e31233426b6a210607034d5c166caad1326e1
PACS/spelbits.pac	11	0x59C1	1	1	846	849	2d2283d42c8f67e9044bc93691ff6345e1a31adc413fbe598d64b7676ce914d9
PACS/spelbits.pac	12	0x5D16	1	1	1480	1486	d2a8829d5cfcb2a01b403001dd5e067032cab0880994eb4511279b9a042df1ec
PACS/spelbits.pac	13	0x62E5	1	3	1101	1114	bd4039c794952bdf87f7676aad7677a4be5811b11f92275d380dd86ca04b2cf9
PACS/spelbits.pac	14	0x673F	1	22	1572	1672	d235771cb63d310eb1474ab99b68537e43b959dfb693b83f30f0b3d80b9daa46
PACS/spelbits.pac	15	0x6DA9	0	17	1590	1672	5d00374d3ee0cbbbad0bb706059ae3fe3b0f57c51f00abc346c1c8739bae8a6e
PRUMS/R00.PAC	0	0x0	0	43	997	2048	2a33a4f5562e42c0f52cbc144eed403fd412bfacab229abffdbc9e1113b5c54b
PRUMS/R01.PAC	0	0x0	0	49	909	2048	6c4326b137df484649a79b69e2272248c7ef72863a9afad83685148283d3a3b6
PRUMS/R10.PAC	0	0x0	0	42	914	2048	dad75d59bcebff98b43dc3ac71a45b65b0aca1b0689ae250c781005eeaf05bf4
PRUMS/R11.PAC	0	0x0	0	44	850	2048	53027c770c9a93bb5c80f9b1c26ce37902eab53c00ddc8a8bc08a6f14df028a8
PRUMS/R12.PAC	0	0x0	0	49	868	2048	f720e68203d6e689b548ab33a04327aed981152572ccd55c56404bd666e83498
PRUMS/R13.PAC	0	0x0	0	44	949	2048	dcead0ae4072a338fb197cd5c4776b1cb356e88776e28b4d045e2e1f908816d8
PRUMS/R14.PAC	0	0x0	0	38	756	2048	68cba3799d9274e444b59be1247628af1bdafb389bb8dee42feb5135d914041c
PRUMS/R15.PAC	0	0x0	0	47	872	2048	c20f673b50a88031f457fd41325ff5274ccd99dd73102623644e1b5dde48214f
PRUMS/R16.PAC	0	0x0	0	37	804	2048	e947230482d6f0b98c9628b4bd20c82bf887d0734e7b6ec87c34cd80e9f13262
PRUMS/R17.PAC	0	0x0	0	49	908	2048	ecdb63113a4ff4c818b67fe9ab2c6ab0cb4d92f8a5a2453223a2d0334c26556c
PRUMS/R20.PAC	0	0x0	0	46	947	2048	99a89533ecdf17641401c687e013dbefa52764b057524847781c78c85ed12889
PRUMS/R21.PAC	0	0x0	0	46	918	2048	c81f5a79e5da825d17c281675009e3e2c4d46feba710136987c0f391547ab156
PRUMS/R22.PAC	0	0x0	0	38	840	2048	c95683513ca720866bfcbdad24628d190217e6031252c9d5ac979caba7021fc1
PRUMS/R23.PAC	0	0x0	0	50	856	2048	818307b875631355062334929e157a10a8b56a88450f685776ee616497278462
PRUMS/R24.PAC	0	0x0	0	20	443	2048	3ed4c0c1ec260140c8b0270284d5d8757706e791cc7705887ef4ff925c8decd6
PRUMS/R30.PAC	0	0x0	0	46	895	2048	da25303abc686724f3caad35c15384579f2d84be48c40335a200869ef1cf8817
PRUMS/R40.PAC	0	0x0	0	47	950	2048	bf496c53a433e978845cce2c7031ea1e10e7bf4b8c945e03cad2e11a236e5b18
PRUMS/R41.PAC	0	0x0	0	44	923	2048	358822ae49488f13e5017c5cdd25060d358337a43dc362720e644a00ba975f47
PRUMS/R50.PAC	0	0x0	0	45	1043	2048	bd2c214febf2c87e31380892c8a3d6f1fe73b281d90c767bf912ed8d364bca10
PRUMS/R51.PAC	0	0x0	0	13	82	2048	be719cfaf34efd7b44fe6ab5091dba88ede3f3e1830f8394fa8a1d974781ccb9
PRUMS/R60.PAC	0	0x0	0	52	944	2048	0e2ced1fd68e2f6697f1ad101ae48506092e4b1e1d4f865e4521cf024b46abae
PRUMS/R61.PAC	0	0x0	0	48	773	2048	ef4e6200f3c00de14853956f62706de2f8b588251b21d83db03ee7333e816323
PRUMS/R62.PAC	0	0x0	0	49	677	2048	8821d1afcee0c34c75d90dd7fa77b470b7710825ee1a55d9ef1f711c9300f503
SPIT/M00.PAC	0	0x0	1	38	2131	3840	39db3fbeda42ce39a78ab803f6b34802ed190adf770bdbc601e0c4bdee11072f
SPIT/M00.PAC	1	0x8C9	1	26	3277	5760	c615d6698470a7b5aabe9ad03893f907c4e5601370a8a1a070ebae17ee9189c8
SPIT/M00.PAC	2	0x15E8	0	34	3144	5760	318d49a94b39497fcaf4cc47bb82763156696e78f32f0b55b9c1eea51702970a
SPIT/M01.PAC	0	0x0	1	25	2599	3840	4c48f4a6dbcb863359fb83c1cae8174999638d5a6ce9293dbdf6a200b0cfebaa
